Date,CONSUMO,Y,COINT2,EQ01,EQ02
1950-01-01,1058.9,1610.5,20890720931328,7.41069371239604e+79,7.33239496254096e+152
1950-04-01,1075.9,1658.8,0,0,0
1950-07-01,1131,1723,0,0,0
1950-10-01,1097.6,1753.9,0,0,0
1951-01-01,1122.8,1773.5,4.31108060186146e-308,5.56268464859931e-308,6.9533558104901e-308
1951-04-01,1091.4,1803.7,1.1125372059167e-308,1.11253726317912e-308,1.11253732599454e-308
1951-07-01,1103.9,1839.8,1.11258997927789e-308,1.1126122602337e-308,1.11263666318529e-308
1951-10-01,1110.5,1843.3,1.13070121322428e-308,1.13445926777008e-308,1.13858124459404e-308
1952-01-01,1113.6,1864.7,2.01647636726584e-308,2.01647636726584e-308,2.01647636726584e-308
1952-04-01,1135.1,1866.2,1266637395410940,1.37542475294009e+82,4.55865469699214e+155
1952-07-01,1140.4,1878,1.6688053938804e-308,1.6688053938804e-308,1.6688053938804e-308
1952-10-01,1180.5,1940.2,1.11265151702634e-308,1.11268122496742e-308,1.11270668891692e-308
1953-01-01,1194.9,1976,1.11253692925785e-308,1.11253692925873e-308,1.11253692925969e-308
1953-04-01,1202.5,1992.2,1.24604136188306e-306,4.27214181397038e-306,1.13923781820818e-305
1953-07-01,1199.8,1979.5,1.11253720918699e-308,1.11253726732364e-308,1.11253733098092e-308
1953-10-01,1191.8,1947.8,1.11309501442185e-308,1.11318626024086e-308,1.11311199038817e-308
1954-01-01,1196.2,1938.1,1.13249642166343e-308,1.13589267592687e-308,1.13997645682659e-308
1954-04-01,1211.3,1941,1.11255814921151e-308,1.11256345420099e-308,1.11256345420099e-308
1954-07-01,1227.3,1962,1.32113760352103e-308,1.32113760352103e-308,1.32113760353722e-308
1954-10-01,1252.6,2000.9,1.11255072222625e-308,1.11254753923256e-308,1.11254329524098e-308
1955-01-01,1280.1,2058.1,1.11253692925838e-308,1.11253692925919e-308,1.11253692926012e-308
1955-04-01,1304.3,2091,1.66880539400992e-308,1.807872510199e-308,1.807872510199e-308
1955-07-01,1320.3,2118.9,1.11253724253745e-308,1.11253729570391e-308,1.11253735681943e-308
1955-10-01,1336.7,2130.1,0,0,1.11254753928112e-308
1956-01-01,1339.2,2121,0,0,1.14056849365225e-308
1956-04-01,1343.7,2137.7,0,0,0
1956-07-01,1346.8,2135.3,0,0,0
1956-10-01,1365.3,2170.4,0,0,0
1957-01-01,1374.2,2182.7,0,0,0
1957-04-01,1376.5,2177.7,0,0,0
1957-07-01,1387.7,2198.9,0,0,0
1957-10-01,1388.8,2176,0,0,0
1958-01-01,1370.1,2117.4,1.11253707495949e-308,1.11253707495949e-308,0
1958-04-01,1380.9,2129.7,0,0,0
1958-07-01,1402.3,2177.5,0,0,1.12208591031294e-308
1958-10-01,1418.8,2226.5,0,0,0
1959-01-01,1445.2,2273,0,0,0
1959-04-01,1468.2,2332.4,5.00641618384299e-308,0,0
1959-07-01,1483.8,2331.4,1.11253724266697e-308,0,0
1959-10-01,1485.6,2339.1,0,0,0
1960-01-01,1499.2,2391,0,0,0
1960-04-01,1518.1,2379.2,0,0,0
1960-07-01,1512.1,2383.6,0,0,0
1960-10-01,1513.5,2352.9,0,0,0
1961-01-01,1512.8,2366.5,0,0,0
1961-04-01,1535.2,2410.8,0,0,0
1961-07-01,1542.9,2450.4,0,0,0
1961-10-01,1574.2,2500.4,0,0,0
1962-01-01,1590.6,2544,1.11253692926979e-308,1.11253692926979e-308,0
