Date,CPI,CPICORE,CURR,D_S,DATE,DEFLATOR,DS,E,FFR,FINISHED,INDPROD,M1NSA,M2NSA,M2SA,POTENT,PPINSA,R10,R5,RGDP,S,S_F,S_F01,S_F02,S_F03,SF,SF1,SF2,SF3,SF4,TB1YR,TBILL,UNEMP,EQ01,EQ02,EQ03,EQ04,GRAPH01,GRAPH02,GROUP01,VEC
1960-01-01,29.4,18.92,31.83,0,715509,18.521,1e-37,-0.66866802382174,3.93,33.2,23.93,140.53,299.4,896.1,2824.2,31.67,4.49,4.64,2845.3,0.77,1e-37,0.77,0.77,0.77,1e-37,0.77,1e-37,1e-37,1e-37,4.57,3.87,5.13,-4.5922981209418e-141,-1.29542528340492e-76,-5.85469173212854e-18,-1.09612622814705e+48,7.29112206199631e-304,7.29112206199631e-304,2.08600674257716e-308,0
1960-04-01,29.57,19,31.862,0,715600,18.579,0.54,-1.05430813306947,3.7,33.4,23.41,138.4,300.03,903.3,2851.2,31.73,4.26,4.3,2832,1.31,1e-37,1.31,1.31,1.31,1e-37,1.31,1e-37,1e-37,1e-37,3.87,2.99,5.23,1.1125369292536e-308,1.1125369292536e-308,1.1125369292536e-308,1.1125369292536e-308,2.66043347008199e+92,2.66043347008199e+92,1.1125392080775e-308,1.6688053938804e-308
1960-07-01,29.59,19.07,32.217,0,715691,18.648,4.44089209850063e-16,-0.775574057450581,2.94,33.43,23.02,139.6,305.5,919.4,2878.7,31.63,3.83,3.67,2836.6,1.31,1e-37,1.31,1.31,1.31,1e-37,1.31,1e-37,1e-37,1e-37,3.07,2.36,5.53,0,0,0,0,2.9353214961258e+35,2.9353214961258e+35,3.20417426115181e-306,1.11255178322414e-308
1960-10-01,29.78,19.14,32.624,0,715783,18.7,0.13,-0.930685228742931,2.3,33.67,22.47,142.67,312.3,932.8,2906.7,31.7,3.89,3.75,2800.2,1.44,1e-37,1.44,1.44,1.44,1e-37,1.44,1e-37,1e-37,1e-37,2.99,2.31,6.27,0,0,0,0,1.11253692925677e-308,8.23488042643288e+150,1.04769861717062e-250,1.11253692928841e-308
1961-01-01,29.84,19.17,32.073,0,715875,18.743,-0.15,-0.779503557147796,2,33.63,22.13,142.23,317.1,948.9,2934.8,31.8,3.79,3.64,2816.9,1.29,1e-37,1.29,1.29,1.29,1e-37,1.29,1e-37,1e-37,1e-37,2.87,2.35,6.8,5.56268464859931e-308,4.31108060186146e-308,3.61574502091606e-308,6.9533558104901e-308,0,1.11253692925362e-308,7.46369207856103e-68,1.39067116163176e-308
1961-04-01,29.83,19.23,32.131,0,715965,18.785,0.0300000000000003,-0.774643316668841,1.73,33.33,23,141.4,320.97,966.4,2962.9,31.47,3.79,3.62,2869.6,1.32,1e-37,1.32,1.32,1.32,1e-37,1.32,1e-37,1e-37,1e-37,2.94,2.3,7,1.11253866519355e-308,1.11253872065892e-308,1.11253877112173e-308,1.11253882728325e-308,0,0,4.02515019745121e-270,1.11253921105637e-308
1961-07-01,29.95,19.32,32.699,0,716056,18.843,0.28,-1.18064234639989,1.68,33.33,23.74,142,326.5,982.7,2991.3,31.5,3.98,3.9,2915.9,1.6,1e-37,1.6,1.6,1.6,1e-37,1.6,1e-37,1e-37,1e-37,3.01,2.3,6.77,1.11257830830104e-308,1.11257406430946e-308,1.1125655763263e-308,1.11258467428841e-308,0,0,3.47678400409712e-308,1.11255178335365e-308
1961-10-01,29.99,19.37,33.421,0,716148,18.908,-0.22,-0.875116590066938,2.4,33.37,24.57,146.63,334.7,1000,3019.9,31.53,3.97,3.84,2975.3,1.38,1e-37,1.38,1.38,1.38,1.48825863006622,1.38,1.48825863006622,1.48825863006622,1.48825863006622,3.1,2.46,6.2,1.22634168551887e-308,1.22997135931931e-308,1.23327318477005e-308,1.23696970143792e-308,0,0,8.65820045765252e-304,1.2620813996282e-308
1962-01-01,30.11,19.44,33.136,0,716240,19.02,-0.26,-0.519841764547378,2.46,33.53,24.94,146.37,341.17,1020.7,3048.7,31.7,4.02,3.84,3028.7,1.12,1e-37,1.12,1.12,1.12,1.27538809433822,1.12,1.39579618622891,1.27538809433822,1.39579618622891,3.21,2.72,5.63,1.25160722840399e-308,1.25160722840399e-308,1.25160722840399e-308,1.25160722840399e-308,0,0,2.90791742844508e-188,2.08601523033367e-308
1962-04-01,30.22,19.51,33.468,0,716330,19.047,-0.21,-0.229633716077021,2.61,33.43,25.18,145.33,346.23,1042.3,3078,31.53,3.87,3.63,3062.1,0.91,1e-37,0.91,0.91,0.91,1.11605900034515,0.91,1.37407806736321,1.11605900034515,1.37407806736321,3.02,2.72,5.53,-2.20430309784433e-139,-4.14536090650968e-75,-1.04083408560224e-16,-8.18440916918917e+49,0,0,3.13113150060449e-294,1.28582153447386e-122
