DY6085,IY,LNNGD,LNS,LNSCH,LYL60,LYL85,N6085,SCHOOL,YL60,YL85,EQ01,EQ02,EQ03,EQ04
4.8,24.1,-2.57702193869581,-1.42295834549148,1.50407739677627,7.81802793853073,8.38274709486331,2.6,4.5,2485,4371,4.01984320750442e+180,5.1548452286952e+229,1.60647520227681e+277,-2.85807106567581e-284
8.6,28.3,-2.50103603171788,-1.2623083813389,1.06471073699243,6.86589107488344,8.20821938349683,3.2,2.9,959,3671,0,0,0,0
5.7,12.8,-2.64507540194082,-2.05572501506252,1.22377543162212,6.79009723551391,7.69165682281055,2.1,3.4,889,2190,0,0,0,0
2.8,5.4,-2.61729583783375,-2.91877123241786,0.0953101798043249,6.27852142416584,6.41017488196617,2.3,1.1,533,608,0,0,0,0
5.1,12.4,-2.37515578582888,-2.0874737133771,0.832909122935104,7.23417717974985,7.44073370738926,4.3,2.3,1386,1704,2.22507385902527e-308,1.87740606829354e-308,2.92040943997067e-308,3.61574502091606e-308
4.8,17.4,-2.47693848013882,-1.74869997976761,0.8754687373539,6.8501261661455,7.19218205871325,3.4,2.4,944,1329,1.11253734972841e-308,1.11253739198312e-308,1.11253743284553e-308,1.11253748083133e-308
1.4,7.1,-2.63108915996608,-2.64507540194082,0.955511445027436,7.08506429395255,6.88243747099785,2.2,2.6,1194,975,0,0,0,0
4.8,13.2,-2.60369018577797,-2.02495335639577,-0.510825623765991,6.12029741895095,6.71295620067707,2.4,0.6,455,823,0,0,0,0
2.1,7.3,-2.63108915996608,-2.61729583783375,0,6.60258789218934,6.56526497003536,2.2,1,737,710,1.52974146071739e-308,1.52974146071739e-308,1.52974146071739e-308,1.94694280918749e-308
5.8,8.3,-2.59026716544583,-2.48891467118554,1.28093384546206,6.93731408122368,7.6246189861594,2.5,3.6,1030,2048,1.03737889229271e+181,1.03096904575316e+230,5.09640409008657e+277,-1.07597969542745e-283
2.8,12,-2.60369018577797,-2.12026353620009,0.832909122935104,6.96129604591017,7.07834157955767,2.4,2.3,1055,1186,1.6688053938804e-308,1.6688053938804e-308,1.6688053938804e-308,1.6688053938804e-308
2.5,9.6,-2.61729583783375,-2.3434070875143,0.53062825106217,7.23849684089437,7.27931883541462,2.3,1.7,1392,1450,1.11257194218416e-308,1.11256769819258e-308,1.11258361316101e-308,1.11259952812945e-308
3.9,21.6,-2.61729583783375,-1.53247687129797,1.09861228866811,8.46968220874519,8.8627667422838,2.3,3,4768,7064,1.11253692926002e-308,1.11253692926067e-308,1.11253692926129e-308,1.11253692926203e-308
5.3,18,-2.53830742651512,-1.71479842809193,-0.693147180559945,5.94803498918065,6.56526497003536,2.9,0.5,383,710,4.72828195146483e-308,4.0329463694833e-308,7.78775850762457e-308,1.50192485525651e-307
5.6,13.8,-2.60369018577797,-1.98050159382493,1.45861502269952,7.39203156751459,8.20549161312024,2.4,4.3,1623,3661,1.11253735061884e-308,1.11253739272784e-308,1.11253743399499e-308,1.11253748240172e-308
2.1,31.7,-2.56394985712845,-1.14885350510486,0.8754687373539,7.25134498337221,7.10414409298753,2.7,2.4,1410,1217,1.11304196452707e-308,1.11303347654391e-308,1.11307803845552e-308,1.1130589404934e-308
5.1,21.1,-2.55104645229255,-1.55589714550607,1.48160454092422,7.07918439460967,7.65302041380419,2.8,4.4,1187,2107,1.14078705921873e-308,1.14345759092166e-308,1.14653130182487e-308,1.14946814399957e-308
4,6.8,-2.57702193869581,-2.68824757380603,1.16315080980568,6.74051935960622,7.10742547411071,2.6,3.2,846,1221,1.1125379902515e-308,1.1125379902515e-308,1.1125379902515e-308,1.1125379902515e-308
